iter	Passed	Remaining
0	60	59991
1	60	30164
2	60	20207
3	61	15251
4	61	12262
5	62	10273
6	62	8844
7	62	7771
8	63	6939
9	63	6273
10	63	5727
11	64	5272
12	64	4887
13	64	4559
14	65	4275
15	65	4024
16	65	3802
17	66	3606
18	66	3430
19	66	3273
20	67	3131
21	67	3000
22	67	2881
23	68	2773
24	68	2675
25	68	2582
26	69	2494
27	69	2414
28	69	2339
29	70	2269
30	70	2203
31	70	2142
32	71	2084
33	71	2031
34	71	1980
35	72	1931
36	72	1886
37	72	1842
38	73	1802
39	73	1763
40	73	1726
41	74	1689
42	74	1655
43	74	1622
44	75	1591
45	75	1562
46	75	1534
47	76	1507
48	76	1481
49	76	1456
50	76	1431
51	77	1408
52	77	1385
53	77	1363
54	78	1342
55	78	1322
56	78	1304
57	79	1285
58	79	1266
59	79	1248
60	80	1231
61	80	1215
62	80	1199
63	80	1183
64	81	1168
65	81	1154
66	81	1139
67	81	1123
68	82	1109
69	82	1096
70	82	1083
71	83	1071
72	83	1059
73	83	1047
74	83	1035
75	84	1024
76	84	1013
77	84	1002
78	85	992
79	85	981
80	85	971
81	85	961
82	86	952
83	86	942
84	86	932
85	86	923
86	86	912
87	87	904
88	87	897
89	87	889
90	88	881
91	88	873
92	88	865
93	89	858
94	89	851
95	89	844
96	89	837
97	90	830
98	90	824
99	90	817
100	91	811
101	91	803
102	91	798
103	91	792
104	92	786
105	92	780
106	92	774
107	93	769
108	93	763
109	93	758
110	94	753
111	94	747
112	94	742
113	94	736
114	95	731
115	95	726
116	95	721
117	95	716
118	96	711
119	96	706
120	96	701
121	96	696
122	96	691
123	97	687
124	97	683
125	97	678
126	98	674
127	98	669
128	98	665
129	98	662
130	99	658
131	99	654
132	99	650
133	100	646
134	100	643
135	100	639
136	100	636
137	101	631
138	101	628
139	101	624
140	102	621
141	102	618
142	102	614
143	102	611
144	103	607
145	103	604
146	103	601
147	103	598
148	104	595
149	104	592
150	104	589
151	105	586
152	105	583
153	105	580
154	105	577
155	106	575
156	106	572
157	106	569
158	107	566
159	107	563
160	107	561
161	107	558
162	108	555
163	108	552
164	108	550
165	108	547
166	109	545
167	109	542
168	109	539
169	110	537
170	110	534
171	110	532
172	110	529
173	111	527
174	111	525
175	111	522
176	111	520
177	112	518
178	112	516
179	112	513
180	112	511
181	113	509
182	113	506
183	113	504
184	114	502
185	114	500
186	114	498
187	114	496
188	115	493
189	115	491
190	115	489
191	115	487
192	116	485
193	116	483
194	116	481
195	116	479
196	117	477
197	117	475
198	117	474
199	118	472
200	118	470
201	118	468
202	118	466
203	119	464
204	119	463
205	119	461
206	119	459
207	120	457
208	120	455
209	120	454
210	120	452
211	121	450
212	121	449
213	121	447
214	122	445
215	122	444
216	122	442
217	122	440
218	123	439
219	123	437
220	123	436
221	124	435
222	124	433
223	124	431
224	124	430
225	125	429
226	125	427
227	125	426
228	126	424
229	126	423
230	126	421
231	126	420
232	127	418
233	127	417
234	127	415
235	127	414
236	128	412
237	128	411
238	128	410
239	129	409
240	129	407
241	129	406
242	129	404
243	130	403
244	130	402
245	130	400
246	131	399
247	131	398
248	131	396
249	131	395
250	132	394
251	132	392
252	132	391
253	132	390
254	133	389
255	133	388
256	134	387
257	134	386
258	134	385
259	134	383
260	135	382
261	135	381
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	137	374
269	137	373
270	138	371
271	138	370
272	138	369
273	139	368
274	139	367
275	139	366
276	139	364
277	140	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	143	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	145	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	333
308	148	331
309	148	331
310	149	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	325
317	151	324
318	151	323
319	151	322
320	152	321
321	152	320
322	152	319
323	152	318
