iter	Passed	Remaining
0	58	58712
1	59	29495
2	59	19746
3	59	14877
4	60	11960
5	60	10030
6	60	8645
7	61	7603
8	61	6792
9	62	6141
10	62	5615
11	62	5166
12	62	4782
13	63	4459
14	63	4177
15	63	3931
16	64	3717
17	64	3525
18	65	3357
19	65	3206
20	65	3070
21	66	2941
22	66	2823
23	66	2713
24	67	2613
25	67	2526
26	67	2445
27	68	2364
28	68	2292
29	68	2227
30	69	2166
31	69	2108
32	70	2052
33	70	2000
34	70	1949
35	71	1923
36	72	1881
37	72	1836
38	72	1794
39	73	1754
40	73	1716
41	73	1680
42	73	1645
43	74	1612
44	74	1580
45	74	1550
46	75	1521
47	75	1493
48	75	1468
49	75	1443
50	76	1419
51	76	1395
52	76	1373
53	77	1351
54	77	1329
55	77	1308
56	77	1290
57	78	1271
58	78	1253
59	78	1235
60	79	1218
61	79	1202
62	79	1186
63	80	1171
64	80	1156
65	80	1141
66	80	1127
67	81	1114
68	81	1100
69	81	1087
70	82	1074
71	82	1061
72	82	1049
73	82	1037
74	83	1026
75	84	1022
76	84	1011
77	84	1000
78	84	990
79	85	980
80	85	970
81	85	960
82	85	948
83	86	939
84	86	931
85	86	922
86	87	913
87	87	904
88	87	896
89	87	889
90	88	884
91	88	877
92	89	870
93	89	864
94	90	857
95	90	851
96	90	843
97	90	836
98	91	830
99	91	823
100	91	817
101	92	810
102	92	804
103	92	798
104	92	791
105	93	785
106	93	780
107	93	774
108	94	768
109	94	762
110	94	757
111	94	751
112	95	746
113	95	741
114	95	736
115	95	730
116	96	725
117	96	719
118	96	715
119	96	710
120	97	705
121	97	700
122	97	695
123	97	691
124	98	687
125	98	683
126	98	679
127	99	675
128	99	671
129	99	667
130	100	663
131	100	659
132	100	656
133	101	652
134	101	649
135	101	645
136	102	642
137	102	639
138	102	635
139	102	632
140	103	628
141	103	624
142	103	621
143	103	618
144	104	615
145	104	612
146	105	610
147	105	607
148	105	604
149	106	601
150	106	599
151	106	596
152	107	593
153	107	591
154	108	589
155	108	586
156	108	584
157	109	581
158	109	578
159	109	575
160	109	572
161	110	569
162	110	566
163	110	564
164	110	561
165	111	559
166	111	556
167	111	553
168	112	551
169	112	549
170	112	546
171	113	544
172	113	541
173	113	539
174	113	536
175	114	534
176	114	532
177	114	530
178	115	528
179	115	526
180	115	524
181	116	522
182	116	520
183	116	518
184	117	516
185	117	514
186	117	511
187	118	509
188	118	507
189	118	506
190	119	504
191	119	502
192	119	500
193	119	498
194	120	496
195	120	494
196	120	492
197	121	490
198	121	488
199	122	488
200	122	486
201	122	484
202	123	483
203	123	481
204	123	480
205	124	478
206	124	477
207	124	475
208	125	473
209	125	471
210	125	469
211	125	468
212	126	466
213	126	464
214	126	463
215	127	461
216	130	470
217	130	468
218	130	467
219	131	465
220	131	463
221	131	461
222	132	460
223	132	458
224	132	457
225	133	455
226	133	454
227	133	452
228	134	451
229	134	449
230	134	448
231	134	446
232	135	445
233	135	443
234	135	442
235	136	441
236	136	439
237	137	439
238	137	438
239	137	436
240	138	435
241	138	434
242	139	433
243	139	432
244	139	430
245	140	429
246	140	428
247	140	426
248	140	425
249	141	423
250	141	422
251	141	420
252	142	419
253	142	418
254	142	416
255	142	415
256	143	414
257	143	412
258	143	411
259	144	410
260	144	408
261	144	407
262	145	406
263	145	405
264	145	404
265	145	402
266	146	401
267	146	400
268	147	399
269	147	398
270	147	397
271	147	396
272	148	394
273	148	393
274	148	392
275	149	391
276	149	390
277	149	389
278	150	387
279	150	386
280	150	385
281	151	384
282	151	383
283	151	382
284	152	381
285	152	381
286	152	379
287	153	378
